sim_time,cmd_speed,pos_x,pos_y,pos_z,qx,qy,qz,qw,p0,p1,p2,p3,v0,v1,v2,v3
21.203,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1003.9609204757626,1003.9609204757626,-1003.9609204757626,-1003.9609204757626,498.95798044916194,498.95798044916194,-498.95798044916194,-498.95798044916194
21.223,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1013.9400955767514,1013.9400955767514,-1013.9400955767514,-1013.9400955767514,498.9592570487662,498.9592570487662,-498.9592570487662,-498.9592570487662
21.243,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1023.9192864169171,1023.9192864169171,-1023.9192864169171,-1023.9192864169171,498.9597266835152,498.9597266835152,-498.9597266835152,-498.9597266835152
21.263,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1033.8984830472025,1033.8984830472025,-1033.8984830472025,-1033.8984830472025,498.95989945248425,498.95989945248425,-498.95989945248425,-498.95989945248425
21.283,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1043.8776818075532,1043.8776818075532,-1043.8776818075532,-1043.8776818075532,498.95996301063593,498.95996301063593,-498.95996301063593,-498.95996301063593
21.303,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1053.8568813515117,1053.8568813515117,-1053.8568813515117,-1053.8568813515117,498.95998639237337,498.95998639237337,-498.95998639237337,-498.95998639237337
21.323,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1063.8360811837435,1063.8360811837435,-1063.8360811837435,-1063.8360811837435,498.9599949940338,498.9599949940338,-498.9599949940338,-498.9599949940338
21.343,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1073.8152811220252,1073.8152811220252,-1073.8152811220252,-1073.8152811220252,498.9599981584078,498.9599981584078,-498.9599981584078,-498.9599981584078
21.363,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1083.79448109932,1083.79448109932,-1083.79448109932,-1083.79448109932,498.95999932251596,498.95999932251596,-498.95999932251596,-498.95999932251596
21.383,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1093.773681090967,1093.773681090967,-1093.773681090967,-1093.773681090967,498.95999975076745,498.95999975076745,-498.95999975076745,-498.95999975076745
21.403,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1103.7528810878948,1103.7528810878948,-1103.7528810878948,-1103.7528810878948,498.95999990831234,498.95999990831234,-498.95999990831234,-498.95999990831234
21.423000000000002,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1113.732081086764,1113.732081086764,-1113.732081086764,-1113.732081086764,498.9599999662698,498.9599999662698,-498.9599999662698,-498.9599999662698
21.443,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1123.7112810863482,1123.7112810863482,-1123.7112810863482,-1123.7112810863482,498.9599999875912,498.9599999875912,-498.9599999875912,-498.9599999875912
21.463,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1133.6904810861952,1133.6904810861952,-1133.6904810861952,-1133.6904810861952,498.9599999954349,498.9599999954349,-498.9599999954349,-498.9599999954349
21.483,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1143.6696810861386,1143.6696810861386,-1143.6696810861386,-1143.6696810861386,498.9599999983205,498.9599999983205,-498.9599999983205,-498.9599999983205
21.503,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1153.6488810861179,1153.6488810861179,-1153.6488810861179,-1153.6488810861179,498.95999999938203,498.95999999938203,-498.95999999938203,-498.95999999938203
21.523,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1163.62808108611,1163.62808108611,-1163.62808108611,-1163.62808108611,498.95999999977255,498.95999999977255,-498.95999999977255,-498.95999999977255
21.543,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1173.6072810861078,1173.6072810861078,-1173.6072810861078,-1173.6072810861078,498.95999999991614,498.95999999991614,-498.95999999991614,-498.95999999991614
21.563,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,1183.5864810861058,1183.5864810861058,-1183.5864810861058,-1183.5864810861058,498.95999999996906,498.95999999996906,-498.95999999996906,-498.95999999996906
