theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
7.00000000,-46.00000000,40.09385399,5.72769343,0.00000000
8.00000000,-46.00000000,39.90355433,4.98794429,0.00000000
9.00000000,-46.00000000,39.71509891,4.41278877,0.00000000
10.00000000,-46.00000000,39.52894408,3.95289441,0.00000000
11.00000000,-46.00000000,39.34559308,3.57687210,0.00000000
12.00000000,-46.00000000,39.16560148,3.26380012,0.00000000
13.00000000,-46.00000000,38.98958322,2.99919871,0.00000000
14.00000000,-46.00000000,38.81821715,2.77272980,0.00000000
15.00000000,-46.00000000,38.65225417,2.57681694,0.00000000
16.00000000,-46.00000000,38.49252507,2.40578282,0.00000000
17.00000000,-46.00000000,38.33994892,2.25529111,0.00000000
18.00000000,-46.00000000,38.19554226,2.12197457,0.00000000
19.00000000,-46.00000000,38.06042880,2.00318046,0.00000000
20.00000000,-46.00000000,37.93584993,1.89679250,0.00000000
21.00000000,-46.00000000,37.82317565,1.80110360,0.00000000
22.00000000,-46.00000000,37.72391606,1.71472346,0.00000000
23.00000000,-46.00000000,37.63973305,1.63651013,0.00000000
24.00000000,-46.00000000,37.57245214,1.56551884,0.00000000
25.00000000,-46.00000000,37.52407380,1.50096295,0.00000000
26.00000000,-46.00000000,37.49678406,1.44218400,0.00000000
27.00000000,-46.00000000,37.49296359,1.38862828,0.00000000
28.00000000,-46.00000000,37.51519433,1.33982837,0.00000000
29.00000000,-46.00000000,37.56626263,1.29538837,0.00000000
30.00000000,-46.00000000,37.64915753,1.25497192,0.00000000
31.00000000,-46.00000000,37.76706232,1.21829233,0.00000000
32.00000000,-46.00000000,37.92333748,1.18510430,0.00000000
33.00000000,-46.00000000,38.12149250,1.15519674,0.00000000
34.00000000,-46.00000000,38.36514404,1.12838659,0.00000000
35.00000000,-46.00000000,38.65795780,1.10451308,0.00000000
36.00000000,-46.00000000,39.00357120,1.08343253,0.00000000
37.00000000,-46.00000000,39.40549514,1.06501338,0.00000000
38.00000000,-46.00000000,39.86699353,1.04913141,0.00000000
39.00000000,-46.00000000,40.39094130,1.03566516,0.00000000
40.00000000,-46.00000000,40.97966400,1.02449160,0.00000000
0.00000000,-45.00000000,41.82760686,inf,0.00000000
1.00000000,-45.00000000,41.65307051,41.65307051,0.00000000
2.00000000,-45.00000000,41.47767361,20.73883681,0.00000000
3.00000000,-45.00000000,41.30164822,13.76721607,0.00000000
4.00000000,-45.00000000,41.12524293,10.28131073,0.00000000
5.00000000,-45.00000000,40.94872570,8.18974514,0.00000000
6.00000000,-45.00000000,40.77238683,6.79539780,0.00000000
7.00000000,-45.00000000,40.59654221,5.79950603,0.00000000
8.00000000,-45.00000000,40.42153696,5.05269212,0.00000000
9.00000000,-45.00000000,40.24774924,4.47197214,0.00000000
10.00000000,-45.00000000,40.07559460,4.00755946,0.00000000
11.00000000,-45.00000000,39.90553064,3.62777551,0.00000000
12.00000000,-45.00000000,39.73806218,3.31150518,0.00000000
13.00000000,-45.00000000,39.57374689,3.04413438,0.00000000
14.00000000,-45.00000000,39.41320156,2.81522868,0.00000000
15.00000000,-45.00000000,39.25710884,2.61714059,0.00000000
16.00000000,-45.00000000,39.10622474,2.44413905,0.00000000
17.00000000,-45.00000000,38.96138678,2.29184628,0.00000000
18.00000000,-45.00000000,38.82352278,2.15686238,0.00000000
19.00000000,-45.00000000,38.69366052,2.03650845,0.00000000
20.00000000,-45.00000000,38.57293801,1.92864690,0.00000000
21.00000000,-45.00000000,38.46261459,1.83155308,0.00000000
