theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
5,2.9,2.40458692,5.41377205,2.67894068
5,2.95,2.47150976,5.40960815,2.72722066
5,3,2.53911566,5.40551207,2.7755401
5,3.05,2.60740851,5.40148282,2.82389778
5,3.1,2.67639256,5.39751939,2.87229254
5,3.15,2.74607243,5.39362075,2.92072324
5,3.2,2.81645307,5.38978587,2.9691888
5,3.25,2.88753976,5.38601367,3.01768817
5,3.3,2.9593381,5.3823031,3.06622032
5,3.35,3.031854,5.3786531,3.11478428
5,3.4,3.10509367,5.37506258,3.16337911
5,3.45,3.17906361,5.37153048,3.2120039
5,3.5,3.2537706,5.36805575,3.26065775
5.5,1,0.43228943,6.1799313,0.890336682
5.5,1.05,0.472552692,6.17359206,0.93580973
5.5,1.1,0.51415069,6.16716327,0.981390105
5.5,1.15,0.557031845,6.16066217,1.02707726
5.5,1.2,0.601147393,6.15410489,1.07287033
5.5,1.25,0.64645142,6.14750644,1.1187682
5.5,1.3,0.692900854,6.14088072,1.1647695
5.5,1.35,0.740455435,6.13424051,1.21087264
