theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1.5,4.3,1.37149822,1.59607651,4.04122068
1.5,4.35,1.39816889,1.59527738,4.09025902
1.5,4.4,1.42511291,1.5944904,4.13931496
1.5,4.45,1.45233382,1.59371535,4.18838802
1.5,4.5,1.47983526,1.59295196,4.23747777
2,0.1,0.00174470926,2.27625992,0.0878686985
2,0.15,0.00391971892,2.27583816,0.131827461
2,0.2,0.006953878,2.27525161,0.175815237
2,0.25,0.0108365877,2.27450412,0.219841233
2,0.3,0.0155545739,2.27360047,0.263914276
2,0.35,0.0210921324,2.27254635,0.308042733
2,0.4,0.0274314069,2.27134819,0.352234449
2,0.45,0.0345526914,2.27001311,0.396496691
2,0.5,0.0424347463,2.26854876,0.440836107
2,0.55,0.0510551174,2.26696321,0.485258701
2,0.6,0.0603904508,2.26526486,0.529769812
2,0.65,0.0704167937,2.26346227,0.574374117
2,0.7,0.0811098774,2.26156413,0.61907563
2,0.75,0.0924453758,2.25957909,0.663877721
2,0.8,0.104399137,2.25751571,0.708783138
2,0.85,0.116947384,2.2553824,0.75379404
2,0.9,0.130066893,2.2531873,0.798912023
2,0.95,0.14373513,2.25093827,0.844138168
2,1,0.157930374,2.24864286,0.889473076
2,1.05,0.172631802,2.24630821,0.934916909
2,1.1,0.187819559,2.24394109,0.980469434
2,1.15,0.203474801,2.24154786,1.02613006
2,1.2,0.219579723,2.23913447,1.0718979
2,1.25,0.236117572,2.23670643,1.11777177
2,1.3,0.25307264,2.23426887,1.16375025
2,1.35,0.270430254,2.23182649,1.20983173
2,1.4,0.288176753,2.2293836,1.25601441
2,1.45,0.306299459,2.22694413,1.30229637
2,1.5,0.324786644,2.22451166,1.34867554
2,1.55,0.343627486,2.22208942,1.3951498
2,1.6,0.362812037,2.21968029,1.44171691
2,1.65,0.382331173,2.2172869,1.48837462
2,1.7,0.402176558,2.21491153,1.53512063
2,1.75,0.422340593,2.21255625,1.5819526
2,1.8,0.442816381,2.21022286,1.62886823
2,1.85,0.463597686,2.20791292,1.67586517
2,1.9,0.484678886,2.2056278,1.72294114
2,1.95,0.506054942,2.20336867,1.77009383
2,2,0.527721359,2.20113653,1.81732099
2,2.05,0.549674152,2.19893221,1.86462042
2,2.1,0.571909812,2.19675641,1.91198992
2,2.15,0.594425277,2.19460967,1.95942736
2,2.2,0.617217905,2.19249244,2.00693065
2,2.25,0.640285441,2.19040505,2.05449777
2,2.3,0.663625999,2.18834773,2.10212673
2,2.35,0.687238035,2.18632062,2.14981559
2,2.4,0.711120324,2.18432378,2.19756247
2,2.45,0.735271946,2.18235722,2.24536556
2,2.5,0.759692261,2.18042087,2.29322309
2,2.55,0.784380894,2.1785146,2.34113334
2,2.6,0.809337722,2.17663824,2.38909466
2,2.65,0.834562855,2.17479158,2.43710543
2,2.7,0.860056627,2.17297438,2.4851641
2,2.75,0.88581958,2.17118634,2.53326917
2,2.8,0.911852455,2.16942715,2.58141918
2,2.85,0.938156182,2.16769648,2.62961274
2,2.9,0.964731868,2.16599397,2.67784848
2,2.95,0.991580792,2.16431924,2.7261251
2,3,1.01870439,2.1626719,2.77444133
2,3.05,1.04610427,2.16105155,2.82279595
2,3.1,1.07378216,2.15945778,2.87118779
2,3.15,1.10173995,2.15789016,2.9196157
